longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
-1.3280841352195651,1.0526849022833078,0.998343484178966,-0.8048190966246049,-0.9724764790070289,-0.9789554372087026,-0.9770328537634586,2.3447657583017163,452600.0,0,0,0,1,0
-1.3230926369062208,1.0433207405225797,-0.6204710695315802,2.045890099248613,1.357143430032187,0.8782592710327085,1.6699610275640624,2.3322379635373314,358500.0,0,0,0,1,0
-1.3330756335329026,1.0386386596422172,1.8886914887197663,-0.5357458858226144,-0.8270242636013051,-0.8235175539792626,-0.8436369170562416,1.7826994032844994,352100.0,0,0,0,1,0
-1.338067131846247,1.0386386596422172,1.8886914887197663,-0.6242145905667101,-0.7197234489577383,-0.7681316415641749,-0.7337814397679453,0.9329675088245888,341300.0,0,0,0,1,0
-1.338067131846247,1.0386386596422172,1.8886914887197663,-0.4624039544285455,-0.6124226343141715,-0.7618783933882779,-0.6291571756838535,-0.012880995886439435,342200.0,0,0,0,1,0
-1.338067131846247,1.0386386596422172,1.8886914887197663,-0.7869420008473006,-0.7721816250057043,-0.8976632109220415,-0.8017872114226049,0.08744663781489194,269700.0,0,0,0,1,0
-1.338067131846247,1.033956578761855,1.8886914887197663,-0.046188493767204096,-0.11406996185849487,-0.2893114955240612,0.037822507852231305,-0.11136630682830236,299200.0,0,0,0,1,0
-1.338067131846247,1.033956578761855,1.8886914887197663,0.21463374975295366,0.35805362257319884,-0.23303226194098817,0.38569818593183636,-0.39513664957954914,241400.0,0,0,0,1,0
-1.3430586301595913,1.033956578761855,1.0792842118644934,-0.03702075234294548,0.30559544652523285,-0.1892595247097091,0.24968664262251708,-0.9423591469347639,226700.0,0,0,0,1,0
-1.338067131846247,1.033956578761855,1.8886914887197663,0.41861599644270797,0.40574287352589516,0.11893627824521481,0.56094382827269,-0.0944695752343217,261100.0,0,0,0,1,0
-1.3430586301595913,1.0386386596422172,1.8886914887197663,-0.19883138848111012,-0.2452154019784098,-0.45368259043335396,-0.2551254315832256,-0.35139464349045885,281500.0,0,0,0,1,0
-1.3430586301595913,1.0386386596422172,1.8886914887197663,0.3975301911669131,0.5130436881694619,0.07695018334990635,0.6132559603147358,-0.31591677092241194,241800.0,0,0,0,1,0
-1.3430586301595913,1.0386386596422172,1.8886914887197663,-0.06635752490057306,-0.14983690007301712,-0.2857382108521201,-0.0824953958444742,-0.41882365648699876,213500.0,0,0,0,1,0
-1.3430586301595913,1.033956578761855,1.8886914887197663,-0.8891623177277842,-0.8246398010536703,-0.958409050345041,-0.8514837368625485,-0.6301117581014498,191300.0,0,0,0,1,0
-1.3430586301595913,1.0386386596422172,1.8886914887197663,0.003317309923792452,0.21260140716747503,-0.1838995977017974,0.3150768076750744,-1.028527214284753,159200.0,0,0,0,1,0
-1.3430586301595913,1.0386386596422172,1.7268100333487117,-0.6948061995335015,-0.6052692466712671,-0.6439599992142201,-0.6160791426733421,-0.9188826911998249,140000.0,0,0,0,1,0
-1.3480501284729287,1.0386386596422172,1.8886914887197663,-0.30701073728736183,-0.45266364362263883,-0.5582011670876326,-0.4408335003324884,-0.5767370358699966,152500.0,0,0,0,1,0
-1.3480501284729287,1.0386386596422172,1.8886914887197663,-0.645300395842505,-0.581424621194919,-0.6877327364454991,-0.5140704851913526,-0.9214093052699528,155500.0,0,0,0,1,0
-1.3430586301595913,1.033956578761855,1.7268100333487117,-0.1818710668462317,-0.19514168847807864,-0.38221689699453104,-0.21066011934748657,-0.9893646961977695,158700.0,0,0,0,1,0
-1.3480501284729287,1.033956578761855,1.8886914887197663,-0.519243951258949,-0.5695023084567449,-0.6502132473901171,-0.5873074700502169,-0.6671161266701989,162900.0,0,0,0,1,0
